task_id,task_type,task_complexity,task_priority,estimated_effort_hours,team_experience_level,total_members,past_projects_completed,team_skillset_match,team_availability,assigned_team
7654e1f7,Feature Development,2,3,13.91,3,19,3,82.62,81.92,T1
96b2ddf8,Testing,3,3,15.69,1,10,3,73.03,31.69,T5
41de5700,Feature Development,2,2,23.34,2,10,3,68.29,75.52,T5
ae3de9ba,Feature Development,3,1,9.62,3,9,5,98.57,57.77,T2
2c84c6d9,Bug Fixing,1,1,27.0,1,8,7,90.19,69.57,T10
c800e27c,Bug Fixing,3,3,38.21,1,6,2,51.52,88.12,T6
aa52fa37,Testing,2,3,27.36,1,7,9,79.9,66.1,T4
6e9f4bd2,Feature Development,3,2,16.59,1,15,5,52.35,92.82,T9
5ced7501,Code Review,2,2,8.9,2,6,3,78.95,68.54,T6
bc8e2087,Feature Development,2,3,35.76,1,8,7,69.52,42.06,T10
46f2622a,Bug Fixing,1,3,31.09,3,11,6,75.54,80.0,T3
ce31e292,Code Review,2,3,17.78,2,19,3,63.39,74.48,T1
30de7237,Code Review,2,2,40.18,2,11,6,58.11,38.11,T3
ef29a046,Feature Development,3,1,44.16,3,15,5,56.56,81.76,T9
770fc877,Feature Development,3,1,16.3,3,5,10,96.32,96.2,T7
673d49a4,Testing,3,3,49.5,2,8,7,62.87,40.0,T10
ad551098,Feature Development,1,3,18.12,3,15,7,68.01,52.5,T9
d62cd89a,Feature Development,1,1,19.47,3,11,6,58.67,90.95,T3
9de1b214,Bug Fixing,1,3,35.38,1,15,7,96.71,40.32,T9
3b0c02c5,Bug Fixing,2,3,49.19,2,6,3,76.36,45.43,T6
524a7f43,Code Review,3,1,31.21,2,9,5,74.25,69.12,T2
cfece966,Testing,3,3,23.83,2,7,9,58.92,43.45,T4
572770b2,Bug Fixing,3,3,48.83,1,8,7,75.01,66.82,T10
688064cc,Feature Development,1,2,22.5,3,7,9,62.08,62.43,T4
2c84c6d9,Bug Fixing,1,1,27.0,1,8,8,90.19,69.57,T10
41861c1c,Bug Fixing,1,1,9.08,2,10,3,52.75,85.94,T5
45d7bcec,Code Review,1,3,24.18,1,5,10,76.91,39.9,T7
c93556a7,Testing,1,2,40.28,3,19,3,54.52,81.91,T1
2db8b47c,Code Review,3,3,49.6,2,5,10,56.93,39.8,T7
a9db64e2,Feature Development,2,3,7.39,3,6,3,55.81,50.85,T6
2a21c70f,Testing,2,2,25.81,2,13,5,51.07,75.76,T8
9fa0b034,Code Review,1,1,5.53,2,19,3,57.9,41.14,T1
1765ea3c,Code Review,1,3,46.41,1,8,8,75.86,54.0,T10
9d2773d4,Testing,2,1,28.84,3,5,10,91.6,63.51,T7
3df2fc1e,Feature Development,2,3,45.61,3,5,10,68.2,76.72,T7
e3bac0c6,Feature Development,2,1,47.14,2,15,7,98.41,48.15,T9
e00672b7,Testing,3,2,14.79,3,5,12,70.84,33.22,T7
4ef33e77,Code Review,2,2,38.5,2,13,5,69.23,97.18,T8
7654e1f7,Feature Development,2,3,13.91,3,19,3,82.62,81.92,T1
68a68a18,Testing,3,3,33.51,2,6,3,84.34,50.85,T6
d957ef92,Code Review,2,2,19.61,3,15,7,99.26,44.99,T9
816d8b65,Bug Fixing,1,3,29.18,2,15,7,98.5,64.27,T9
e96cd7a7,Testing,1,3,30.07,3,8,8,62.67,84.21,T10
d5e4cb17,Bug Fixing,3,3,13.38,1,13,5,83.68,67.97,T8
76b24537,Feature Development,3,3,24.34,3,15,8,81.81,46.98,T9
407fde5c,Testing,2,2,13.01,3,5,12,54.98,84.06,T7
0ba8404f,Testing,3,3,15.61,2,7,10,86.24,62.21,T4
ef29a046,Feature Development,3,1,44.16,3,15,8,56.56,81.76,T9
5bf273ec,Bug Fixing,1,1,26.84,1,7,10,78.34,46.11,T4
40730fd2,Code Review,1,1,24.53,1,9,5,75.48,71.89,T2
c800e27c,Bug Fixing,3,3,38.21,1,6,3,51.52,88.12,T6
c74549ef,Testing,1,3,10.63,2,9,5,66.51,46.0,T2
f05741b3,Bug Fixing,3,1,8.11,2,5,12,65.73,32.11,T7
29415192,Feature Development,1,2,49.94,1,6,4,71.83,52.98,T6
90ba8870,Bug Fixing,2,1,8.85,3,11,6,88.78,92.0,T3
14d26930,Code Review,2,3,24.77,3,11,6,93.11,61.88,T3
78fe65b1,Bug Fixing,2,2,43.85,3,5,12,93.35,91.75,T7
53c3e611,Bug Fixing,2,3,17.46,3,15,8,81.87,45.71,T9
4226d11b,Bug Fixing,1,1,48.62,1,13,6,72.56,43.41,T8
3b10d9f6,Feature Development,3,1,34.18,3,10,5,54.35,33.89,T5
80fa2f23,Feature Development,3,2,33.68,2,9,6,74.95,85.26,T2
a842eb6c,Code Review,2,3,48.54,3,6,4,72.95,61.81,T6
ff3a6fd5,Code Review,2,3,17.38,2,7,10,57.08,46.76,T4
3df2fc1e,Feature Development,2,3,45.61,3,5,12,68.2,76.72,T7
316b3410,Testing,3,1,8.42,2,19,4,76.45,87.88,T1
c9fd1582,Feature Development,3,1,42.39,1,11,8,81.38,89.78,T3
c13df2a7,Bug Fixing,2,1,37.79,2,11,8,65.42,89.48,T3
291f497a,Feature Development,2,3,33.66,1,10,5,50.85,31.79,T5
600ccdb3,Feature Development,2,3,14.6,2,9,6,57.36,72.8,T2
3a947cf8,Code Review,1,3,30.24,1,6,4,74.56,79.25,T6
74ad27d6,Bug Fixing,3,1,47.82,2,10,5,88.16,75.31,T5
6a75471b,Feature Development,2,3,15.62,1,19,4,80.71,33.66,T1
499ebf09,Bug Fixing,1,3,6.74,2,5,14,64.1,92.42,T7
e26c2e75,Bug Fixing,2,2,21.45,3,6,4,94.33,40.03,T6
6963642b,Testing,2,2,48.84,3,10,5,61.71,41.46,T5
f55d1623,Bug Fixing,2,1,35.94,3,13,6,61.67,49.25,T8
9bcf96c1,Code Review,2,3,14.95,1,7,10,99.94,92.7,T4
106c6954,Bug Fixing,2,2,42.03,1,9,6,73.36,84.8,T2
0282cadc,Testing,2,3,47.48,2,5,14,57.59,91.8,T7
8d0912fb,Testing,2,2,24.22,1,7,10,90.55,76.5,T4
28489434,Feature Development,2,3,49.69,1,10,5,96.9,75.85,T5
3b0c02c5,Bug Fixing,2,3,49.19,2,6,4,76.36,45.43,T6
441c1cab,Code Review,3,1,9.26,1,19,4,56.43,55.6,T1
b4ae0eb7,Code Review,1,1,40.04,2,10,6,91.04,80.76,T5
3df2fc1e,Feature Development,2,3,45.61,3,5,14,68.2,76.72,T7
f4bbec1e,Code Review,1,3,24.78,2,6,6,95.3,40.0,T6
aa52fa37,Testing,2,3,27.36,1,7,11,79.9,66.1,T4
46790a3b,Feature Development,1,3,39.83,2,5,14,88.78,84.15,T7
b86fa9b8,Code Review,2,3,32.0,2,11,8,94.78,74.96,T3
30de7237,Code Review,2,2,40.18,2,11,8,58.11,38.11,T3
a66359a4,Feature Development,2,2,48.29,2,8,8,92.32,61.25,T10
46525255,Feature Development,2,1,19.04,3,15,8,58.37,51.28,T9
69fee229,Code Review,2,2,30.96,2,10,6,73.91,50.57,T5
d957ef92,Code Review,2,2,19.61,3,15,8,99.26,44.99,T9
f5dac161,Feature Development,3,1,22.11,3,8,8,60.84,34.07,T10
342cca78,Testing,3,3,22.79,3,5,14,50.35,48.83,T7
4f09f7bd,Code Review,3,3,37.8,2,9,6,97.12,34.54,T2
117965e2,Bug Fixing,3,1,34.92,3,8,9,54.07,66.2,T10
025e85e2,Code Review,3,2,26.31,1,11,8,85.48,61.51,T3
673d49a4,Testing,3,3,49.5,2,8,9,62.87,40.0,T10
3b0c02c5,Bug Fixing,2,3,49.19,2,6,6,76.36,45.43,T6
816d8b65,Bug Fixing,1,3,29.18,2,15,10,98.5,64.27,T9
879c9019,Code Review,1,2,20.96,3,15,10,77.4,60.8,T9
f6c7cfad,Testing,2,2,23.99,1,5,16,65.87,65.9,T7
6b193524,Bug Fixing,3,1,26.92,1,9,6,61.41,62.77,T2
0389564e,Feature Development,1,1,28.36,2,7,11,93.13,64.55,T4
e26c2e75,Bug Fixing,2,2,21.45,3,6,6,94.33,40.03,T6
291f497a,Feature Development,2,3,33.66,1,10,6,50.85,31.79,T5
9bcf96c1,Code Review,2,3,14.95,1,7,11,99.94,92.7,T4
f05741b3,Bug Fixing,3,1,8.11,2,5,16,65.73,32.11,T7
231a7210,Bug Fixing,2,3,24.0,1,5,16,85.25,33.07,T7
cabc43c5,Feature Development,1,1,49.86,2,5,16,92.42,98.68,T7
8d0912fb,Testing,2,2,24.22,1,7,11,90.55,76.5,T4
a61d209b,Bug Fixing,2,3,23.22,3,11,10,93.47,81.17,T3
b70c3bec,Code Review,1,3,27.48,1,7,11,88.31,92.03,T4
0b1bda4e,Feature Development,2,2,30.72,1,6,6,77.62,62.67,T6
ff3a6fd5,Code Review,2,3,17.38,2,7,13,57.08,46.76,T4
e4a52c9f,Testing,3,3,20.52,1,9,7,80.77,56.55,T2
f0f9c6bc,Bug Fixing,1,1,39.67,3,13,6,67.19,30.34,T8
3c0b5551,Feature Development,1,3,13.03,3,8,9,76.73,65.73,T10
80fa2f23,Feature Development,3,2,33.68,2,9,7,74.95,85.26,T2
572770b2,Bug Fixing,3,3,48.83,1,8,9,75.01,66.82,T10
6692e3ac,Bug Fixing,3,1,40.37,2,5,16,73.62,49.85,T7
b86fa9b8,Code Review,2,3,32.0,2,11,10,94.78,74.96,T3
a4d30e5a,Code Review,3,1,13.21,2,15,10,50.26,50.25,T9
1d31f7e2,Feature Development,3,1,19.79,1,13,6,79.43,91.77,T8
11da960d,Feature Development,1,2,24.17,1,9,7,92.14,54.49,T2
3e364193,Bug Fixing,3,1,14.88,2,13,6,67.63,44.89,T8
f05bec5a,Feature Development,3,2,17.44,1,9,7,70.85,99.05,T2
74013e6d,Code Review,3,2,48.48,3,11,10,68.05,53.05,T3
a05d960f,Bug Fixing,1,3,40.65,2,8,9,79.2,98.98,T10
441c1cab,Code Review,3,1,9.26,1,19,4,56.43,55.6,T1
3e364193,Bug Fixing,3,1,14.88,2,13,7,67.63,44.89,T8
a05d960f,Bug Fixing,1,3,40.65,2,8,10,79.2,98.98,T10
fd6bfb3c,Testing,2,2,24.61,3,8,10,86.92,78.55,T10
3e364193,Bug Fixing,3,1,14.88,2,13,7,67.63,44.89,T8
2dace4ac,Code Review,2,3,33.33,1,11,10,51.04,63.76,T3
441c1cab,Code Review,3,1,9.26,1,19,4,56.43,55.6,T1
28489434,Feature Development,2,3,49.69,1,10,6,96.9,75.85,T5
7e88de17,Code Review,2,3,9.17,2,6,6,82.77,43.25,T6
94079ee6,Bug Fixing,1,2,18.29,2,7,13,61.53,96.75,T4
342cca78,Testing,3,3,22.79,3,5,16,50.35,48.83,T7
f07adefc,Bug Fixing,2,3,15.37,1,8,10,71.65,92.76,T10
5bf273ec,Bug Fixing,1,1,26.84,1,7,13,78.34,46.11,T4
7dbfd805,Code Review,1,2,21.22,3,7,13,65.75,59.86,T4
78fe65b1,Bug Fixing,2,2,43.85,3,5,16,93.35,91.75,T7
9b2f4a49,Feature Development,1,3,22.37,2,8,10,89.1,35.88,T10
6692e3ac,Bug Fixing,3,1,40.37,2,5,16,73.62,49.85,T7
76aa2b34,Code Review,1,2,8.39,3,5,16,50.15,78.75,T7
7084df3a,Code Review,1,1,45.98,2,11,10,58.9,49.72,T3
9b2f4a49,Feature Development,1,3,22.37,2,8,10,89.1,35.88,T10
905f7846,Feature Development,2,3,23.08,3,5,16,55.45,30.93,T7
422af973,Testing,1,3,38.07,1,5,16,90.16,68.87,T7
1df2ea64,Testing,2,3,35.25,2,15,10,73.81,99.69,T9
11da960d,Feature Development,1,2,24.17,1,9,7,92.14,54.49,T2
238e7f06,Code Review,3,2,25.92,1,6,8,86.69,56.0,T6
5f862b9b,Bug Fixing,1,3,30.08,1,5,16,55.79,37.45,T7
9e0c7958,Testing,3,3,20.64,1,15,10,65.51,80.73,T9
e96cd7a7,Testing,1,3,30.07,3,8,11,62.67,84.21,T10
d8df389b,Feature Development,3,3,16.72,3,7,13,68.83,95.59,T4
ae3de9ba,Feature Development,3,1,9.62,3,9,8,98.57,57.77,T2
54577139,Code Review,2,3,40.25,2,6,8,89.65,55.06,T6
a66359a4,Feature Development,2,2,48.29,2,8,11,92.32,61.25,T10
1d31f7e2,Feature Development,3,1,19.79,1,13,7,79.43,91.77,T8
aa52fa37,Testing,2,3,27.36,1,7,14,79.9,66.1,T4
e886e7fa,Feature Development,1,2,44.02,1,6,8,69.02,72.86,T6
f2fff536,Testing,3,3,40.28,3,6,8,68.5,66.98,T6
4226d11b,Bug Fixing,1,1,48.62,1,13,7,72.56,43.41,T8
572770b2,Bug Fixing,3,3,48.83,1,8,11,75.01,66.82,T10
da28debd,Bug Fixing,1,3,18.53,2,5,16,69.96,69.71,T7
d7678eac,Bug Fixing,3,1,42.08,3,8,11,77.81,56.2,T10
238e7f06,Code Review,3,2,25.92,1,6,8,86.69,56.0,T6
269f4f09,Bug Fixing,3,2,15.28,3,10,6,62.34,75.34,T5
5c827c5a,Bug Fixing,1,1,48.78,1,11,12,57.3,92.34,T3
529b7961,Testing,3,1,45.0,1,19,6,89.93,36.12,T1
2e7cfac2,Bug Fixing,3,1,21.25,1,9,8,97.12,67.18,T2
238e7f06,Code Review,3,2,25.92,1,6,10,86.69,56.0,T6
d8df389b,Feature Development,3,3,16.72,3,7,14,68.83,95.59,T4
cabc43c5,Feature Development,1,1,49.86,2,5,16,92.42,98.68,T7
f0f9c6bc,Bug Fixing,1,1,39.67,3,13,7,67.19,30.34,T8
9b2f4a49,Feature Development,1,3,22.37,2,8,11,89.1,35.88,T10
6e9f4bd2,Feature Development,3,2,16.59,1,15,12,52.35,92.82,T9
f07adefc,Bug Fixing,2,3,15.37,1,8,12,71.65,92.76,T10
83674ded,Testing,2,3,45.51,2,5,16,70.77,45.33,T7
499ebf09,Bug Fixing,1,3,6.74,2,5,16,64.1,92.42,T7
76b24537,Feature Development,3,3,24.34,3,15,12,81.81,46.98,T9
69fee229,Code Review,2,2,30.96,2,10,7,73.91,50.57,T5
407fde5c,Testing,2,2,13.01,3,5,16,54.98,84.06,T7
ce26d5ac,Code Review,1,1,7.51,1,8,12,55.96,42.37,T10
80fa2f23,Feature Development,3,2,33.68,2,9,8,74.95,85.26,T2
0ba8404f,Testing,3,3,15.61,2,7,14,86.24,62.21,T4
a9db64e2,Feature Development,2,3,7.39,3,6,10,55.81,50.85,T6
83674ded,Testing,2,3,45.51,2,5,16,70.77,45.33,T7
76b24537,Feature Development,3,3,24.34,3,15,12,81.81,46.98,T9
5f862b9b,Bug Fixing,1,3,30.08,1,5,16,55.79,37.45,T7
ce8d88cd,Code Review,3,3,19.6,2,7,14,55.59,49.9,T4
529b7961,Testing,3,1,45.0,1,19,6,89.93,36.12,T1
a4d30e5a,Code Review,3,1,13.21,2,15,12,50.26,50.25,T9
d6e15ed4,Feature Development,3,1,19.5,2,10,7,87.26,46.99,T5
1df2ea64,Testing,2,3,35.25,2,15,12,73.81,99.69,T9
28e14e34,Code Review,3,3,22.7,3,8,12,97.23,58.49,T10
7dbfd805,Code Review,1,2,21.22,3,7,14,65.75,59.86,T4
3abad251,Feature Development,1,3,48.97,3,9,8,76.65,92.06,T2
28489434,Feature Development,2,3,49.69,1,10,7,96.9,75.85,T5
1fc574d1,Bug Fixing,1,3,21.9,3,19,6,92.3,52.32,T1
e00672b7,Testing,3,2,14.79,3,5,16,70.84,33.22,T7
d6e15ed4,Feature Development,3,1,19.5,2,10,7,87.26,46.99,T5
441c1cab,Code Review,3,1,9.26,1,19,6,56.43,55.6,T1
3b10d9f6,Feature Development,3,1,34.18,3,10,7,54.35,33.89,T5
d5e4cb17,Bug Fixing,3,3,13.38,1,13,9,83.68,67.97,T8
8d0912fb,Testing,2,2,24.22,1,7,15,90.55,76.5,T4
174f518c,Feature Development,2,1,8.67,3,8,12,93.44,39.1,T10
c13df2a7,Bug Fixing,2,1,37.79,2,11,12,65.42,89.48,T3
0389564e,Feature Development,1,1,28.36,2,7,15,93.13,64.55,T4
d5b968ef,Bug Fixing,2,2,7.84,3,8,12,54.38,70.65,T10
f073eb00,Bug Fixing,1,2,49.01,3,9,8,64.54,73.46,T2
f4bbec1e,Code Review,1,3,24.78,2,6,10,95.3,40.0,T6
e886e7fa,Feature Development,1,2,44.02,1,6,10,69.02,72.86,T6
a66359a4,Feature Development,2,2,48.29,2,8,13,92.32,61.25,T10
e3bac0c6,Feature Development,2,1,47.14,2,15,14,98.41,48.15,T9
30de7237,Code Review,2,2,40.18,2,11,12,58.11,38.11,T3
29c1a1bf,Testing,2,2,36.58,1,15,14,81.86,50.66,T9
79d6b7cb,Bug Fixing,1,1,15.4,1,8,13,67.83,34.56,T10
8e46c546,Feature Development,3,2,12.51,2,10,8,85.09,62.7,T5
d7678eac,Bug Fixing,3,1,42.08,3,8,13,77.81,56.2,T10
025e85e2,Code Review,3,2,26.31,1,11,12,85.48,61.51,T3
2db8b47c,Code Review,3,3,49.6,2,5,16,56.93,39.8,T7
529b7961,Testing,3,1,45.0,1,19,6,89.93,36.12,T1
106c6954,Bug Fixing,2,2,42.03,1,9,9,73.36,84.8,T2
ba7cb25d,Code Review,3,3,36.11,2,13,9,53.61,58.78,T8
d8fd4d1d,Bug Fixing,2,2,15.95,3,10,8,81.27,84.25,T5
6a75471b,Feature Development,2,3,15.62,1,19,7,80.71,33.66,T1
0b1bda4e,Feature Development,2,2,30.72,1,6,10,77.62,62.67,T6
9de1b214,Bug Fixing,1,3,35.38,1,15,14,96.71,40.32,T9
ce26d5ac,Code Review,1,1,7.51,1,8,13,55.96,42.37,T10
e886e7fa,Feature Development,1,2,44.02,1,6,12,69.02,72.86,T6
c74549ef,Testing,1,3,10.63,2,9,9,66.51,46.0,T2
fd751fec,Feature Development,1,3,32.37,1,6,12,83.61,37.01,T6
f2f705d6,Testing,2,2,27.42,2,7,15,50.44,85.19,T4
ff3a6fd5,Code Review,2,3,17.38,2,7,15,57.08,46.76,T4
79d6b7cb,Bug Fixing,1,1,15.4,1,8,13,67.83,34.56,T10
688064cc,Feature Development,1,2,22.5,3,7,15,62.08,62.43,T4
905f7846,Feature Development,2,3,23.08,3,5,16,55.45,30.93,T7
6a75471b,Feature Development,2,3,15.62,1,19,7,80.71,33.66,T1
74ad27d6,Bug Fixing,3,1,47.82,2,10,8,88.16,75.31,T5
c3dcb037,Code Review,2,2,33.96,2,19,7,89.85,60.94,T1
d957ef92,Code Review,2,2,19.61,3,15,14,99.26,44.99,T9
da534629,Feature Development,2,3,10.5,3,10,8,54.61,66.56,T5
316b3410,Testing,3,1,8.42,2,19,7,76.45,87.88,T1
45d7bcec,Code Review,1,3,24.18,1,5,16,76.91,39.9,T7
8e46c546,Feature Development,3,2,12.51,2,10,8,85.09,62.7,T5
